joint,angle_bin_deg,samples,source_curves,angle_deg,shape_factor,shape_factor_q25,shape_factor_q75,reference_rate_per_command,direction,universal_rate_per_command,shape_factor_raw,universal_rate_per_command_raw
boom,-18.0,147,6,-18.0026395,1.0225854038348674,1.0087285309754879,1.0183104633091653,15.620879166666668,0,15.973683030901501,1.0129766957798316,15.823586563426012
boom,-16.0,147,6,-15.9904115,1.010907358408549,0.9899176415879917,1.0171597292346952,15.620879166666668,0,15.791261694394139,1.0091983963474243,15.76456620453689
boom,-14.0,146,6,-13.99281275,1.0004014359826123,0.9778834674102601,1.0003471594449826,15.620879166666668,0,15.627149949644208,0.9952148459018464,15.54613085270553
boom,-12.0,150,6,-12.0248855,0.9911028885005947,0.9727746591309733,0.9941178147497539,15.620879166666668,0,15.481898463002098,0.9792041845290013,15.2960302460219
boom,-10.0,152,6,-9.992136,0.9826090384815596,0.9593963957499299,0.9797366022257786,15.620879166666668,0,15.349217058194961,0.9742727904653905,15.218997535231019
boom,-8.0,151,6,-8.022415500000001,0.9754870512869517,0.9586840138951769,0.970211603903333,15.620879166666668,0,15.237965356801443,0.9612589751495941,15.015710298685647
boom,-6.0,154,6,-6.000703,0.969353051241461,0.9526201898849079,0.9747100864739964,15.620879166666668,0,15.142146883282505,0.9634578066235058,15.050057979447486
boom,-4.0,152,6,-3.970382,0.9644354240703913,0.9490448233129611,0.9648735686152209,15.620879166666668,0,15.065329223456509,0.9591388103810413,14.982591461022661
boom,-2.0,154,6,-1.9770662499999998,0.9608567716370188,0.9390873108845768,0.948121483996006,15.620879166666668,0,15.0094275262153,0.9443922934087674,14.75223790126957
boom,-0.0,152,6,-0.003777250000000001,0.9585602073081827,0.9320469458608036,0.9605379574462459,15.620879166666668,0,14.973553172336073,0.9490933424778842,14.825672420734815
boom,2.0,154,6,1.98696675,0.9575098407275197,0.9486210278089553,0.9550571378576708,15.620879166666668,0,14.957145522898832,0.950669616421499,14.850295205541588
boom,4.0,155,6,4.02300175,0.9577353266123313,0.9272329737730699,0.9572450089600126,15.620879166666668,0,14.960667810659263,0.943054243635014,14.731336387434784
