joint,amplitude,direction,angle_bin_deg,samples,angle_deg,forward_vel_deg_s,rate_per_command
arm,0.6,1,66.0,14,65.941498,19.3444195,32.24069916666667
arm,0.6,1,68.0,15,67.870453,19.045753,31.74292166666667
arm,0.6,1,70.0,15,69.91713,19.240816,32.06802666666667
arm,0.6,1,72.0,14,71.86862550000001,19.7804925,32.967487500000004
arm,0.6,1,74.0,15,73.81955,19.260645,32.101075
arm,0.6,1,76.0,15,75.887566,19.229174,32.04862333333334
arm,0.6,1,78.0,15,77.952141,19.293638,32.156063333333336
arm,0.6,1,80.0,15,79.96759,19.2617,32.102833333333336
arm,0.6,1,82.0,15,82.002823,19.288748,32.147913333333335
arm,0.6,1,84.0,15,84.118927,19.148787,31.914645
arm,0.6,1,86.0,13,86.035614,19.439217,32.398695000000004
arm,0.6,1,88.0,15,87.866844,19.876875,33.128125
arm,0.6,1,90.0,14,89.9697875,19.7548675,32.92477916666667
arm,0.6,1,92.0,15,92.11544,20.294054,33.82342333333333
arm,0.6,1,94.0,13,93.959808,20.615818,34.35969666666667
arm,0.6,1,96.0,14,95.934799,20.315504,33.85917333333333
arm,0.6,1,98.0,14,98.0071295,21.1152705,35.1921175
arm,0.6,1,100.0,14,99.9493485,21.617579499999998,36.02929916666667
arm,0.6,1,102.0,13,102.05336,21.971134,36.61855666666667
arm,0.6,1,104.0,13,103.994225,22.201166,37.00194333333334
arm,0.6,1,106.0,13,105.812126,21.849543,36.415905
arm,0.6,1,108.0,13,108.047806,20.816505,34.694175
arm,0.6,1,110.0,13,110.142982,23.698629,39.497715
arm,0.6,1,112.0,12,111.98549249999999,22.8260095,38.04334916666667
arm,0.6,1,114.0,13,113.94117,21.399746,35.666243333333334
arm,0.6,1,116.0,12,115.803627,22.39058,37.31763333333333
arm,0.6,1,120.0,11,120.08268,26.697523,44.495871666666666
arm,0.6,1,122.0,10,121.9232025,27.2891465,45.48191083333334
arm,0.6,1,124.0,12,123.969715,27.709108999999998,46.181848333333335
arm,0.6,1,126.0,11,126.135948,28.512609,47.521015000000006
